wT,wAT,wH,wP,wR,wTT,wWD,wWS
23111.61,28.4,16.4,1015.0,False,35.4,197,3.0
23171.627,28.4,16.4,1015.1,False,35.3,204,3.5
23231.61,28.4,16.3,1015.2,False,35.4,191,2.5
23291.612,28.5,16.2,1015.1,False,35.2,201,2.5
23351.623,28.5,16.2,1015.1,False,35.0,207,2.7
23411.631,28.5,16.1,1015.1,False,35.0,213,3.6
23471.613,28.5,16.1,1015.0,False,34.8,189,2.9
23531.625,28.5,16.2,1015.0,False,34.7,200,2.5
23592.163,28.5,16.3,1015.1,False,34.5,199,3.2
23651.621,28.5,16.2,1015.1,False,34.4,199,3.2
23711.635,28.5,16.1,1015.0,False,34.4,206,3.3
23771.668,28.5,16.2,1015.0,False,34.2,191,3.5
23832.414,28.5,15.7,1015.1,False,34.3,189,3.3
23891.674,28.5,16.0,1015.1,False,33.9,175,2.1
23951.687,28.4,16.1,1015.1,False,33.8,197,4.4
24011.69,28.4,16.1,1015.1,False,33.9,207,3.3
24071.688,28.4,16.2,1015.2,False,33.7,198,3.1
24131.692,28.5,16.3,1015.1,False,33.6,178,2.5
24191.692,28.4,16.1,1015.2,False,33.7,201,2.6
24251.707,28.4,16.3,1015.1,False,33.5,198,2.3
24311.846,28.4,16.2,1015.1,False,33.5,197,2.6
24371.725,28.4,16.2,1015.1,False,33.5,197,2.6
24431.759,28.3,16.3,1015.1,False,33.3,185,2.0
24491.774,28.3,16.4,1015.2,False,33.5,197,2.5
24551.767,28.3,16.5,1015.2,False,33.2,192,2.2
24611.754,28.2,16.5,1015.1,False,32.9,217,2.3
24671.783,28.2,16.5,1015.1,False,33.0,211,2.4
24731.768,28.2,16.5,1015.2,False,33.0,202,2.6
24791.853,28.2,16.3,1015.1,False,32.8,193,3.0
24851.804,28.2,16.3,1015.2,False,32.9,198,2.1
24911.803,28.2,16.3,1015.2,False,32.7,191,1.8
24971.796,28.2,16.3,1015.1,False,32.7,181,1.7
25031.821,28.1,16.3,1015.2,False,32.4,204,2.9
25091.834,28.1,16.4,1015.1,False,32.6,198,2.4
25151.822,28.1,16.5,1015.1,False,32.3,200,3.3
25212.269,28.1,16.4,1015.1,False,32.1,208,3.0
25271.834,28.0,16.4,1015.2,False,32.4,203,2.3
25331.844,28.0,16.6,1015.1,False,32.2,196,2.0
25391.855,28.0,16.4,1015.2,False,32.3,192,2.3
25451.836,28.0,16.6,1015.2,False,32.1,203,2.8
25511.837,28.0,16.6,1015.2,False,31.9,198,2.2
25571.878,28.0,16.7,1015.2,False,32.0,191,2.3
25631.866,28.0,16.5,1015.2,False,31.9,209,2.3
25691.875,28.0,16.6,1015.1,False,31.6,206,3.2
25751.887,28.0,16.5,1015.2,False,31.7,203,2.0
25811.889,28.0,16.8,1015.1,False,31.6,195,2.5
